Skills,"As a user, I'd like to be able to select custom fields of type Date Picker in the Two Dimensional Filter Statistics gadget, X and Y axis.         Currently this is not available.",As a user I would like to have the ability to start a thread on a Jira that is being worked on by several several users so as to avoid lengthy comment strings that are not relevant to all users.,As a user I want to click column names to sort them because it's a familiar paradigm to me and so I don't have to type in the query bar to sort the field.,"As a JIRA Administrators, I'd like to be able to set the timeout for the rapid boards. Sometimes users are in remote locations where it's excepted that the load times will be very high.",As a new developer I want to restore a dump to my local machine so I can set up a new development environment.,"As a Jira administrator, I would like to customize the image that is displayed when we select the Unassigned/Automatic option for user fields.         !abc.png!","As a developer, I'd like to add a mongodb source using an xml and a property file supporting mixing in of parameters so that I can use this module to ingest data from Mongo.","As a developer, I need a Python SDK, so I develop application with NodeJS to interact with blockchain.",As a theme designer I want a fast change test iterate loop in order to dev things quickly,"As a user of Maven and REST, I would like the ability to create and update a group repository via the API.","As an administrator, I want to be able to determine app login by granting this as a global permission for certain groups and/or users.",As a Product Owner   I would like a hotkey for the Backlog Search in Agile Plan mode  So that I can search for stories with less switching between a keyboard and mouse.,"As a user, I want to be able to configure the default expression language for my project so that I can use Weave as my expression language.","As an admin, I'd like GH Rapid Boards (Scrum and Kanban) to support multiple workflows in the board's columns configuration mapping",As a Compass user I would like to export and import my favorite list so that other users may access the same hosts without having to type anything,As a developer I want to copy data from production or staging to my local development environment so I can debug an application issue.,"As an application developer, I want documentation for upgrade flows","As a user, I'd like to have the option to write into _Kafka_ sink so that I can publish mass data into Kafka broker.",As a developer I want to copy a document to clipboard as json so I can share the document with other members on my team and/or compare it with the output from my application.,As a developer I want to debug my Alloy projects using the Studio debugger,"As a Jira Software Administrator, I would like to be able to create and use a schema for Issue Detail View in Agile boards.    It would facilitate the standardization of board configuration.","As a customer, I would like to have the possibility of configuring the calendar on the Log Work Screen. As an example, hide week number information.","As an admin , I would like to have the ability to remove the tab Discover option from the Switch to tab. Please refer attachment. We do not want to see More atlassian products under this Discover tab.","As a user of REST, I would like the capability to administrate my Raw repositories.  This ticket implements PUT and POST endpoints.",As a user I would like an action to be able to delete a specific worklog (from a specifc author at a specific date) in Automation for JIRA.     Today I can only add a worklog.
AI,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.98
AWS,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.01,0.0,0.08,0.03,0.01,0.01,0.0,0.0,0.0,0.06,0.69,0.02,0.0
Active Directory,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.03,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
Adobe XD,0.11,0.0,0.03,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.6,0.02,0.02,0.0,0.0,0.05,0.72,0.0,0.01,0.0,0.0,0.14,0.04,0.0,0.0
Agile Methodologies,0.0,0.25,0.0,0.0,0.83,0.0,0.0,0.0,0.31,0.0,0.0,0.99,0.02,0.07,0.0,0.95,0.0,0.0,0.03,0.0,0.98,0.0,0.01,0.0,0.0
Android Mobile App Development,0.0,0.01,0.0,0.0,0.58,0.0,0.02,0.0,0.01,0.0,0.07,0.0,0.06,0.0,0.0,0.96,0.99,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0
Angular,0.04,0.0,0.09,0.0,0.47,0.0,0.01,0.0,0.01,0.0,0.38,0.0,0.02,0.0,0.0,0.77,0.85,0.0,0.09,0.0,0.0,0.1,0.06,0.0,0.0
Azure,0.12,0.0,0.06,0.03,0.01,0.0,0.0,0.0,0.02,0.0,0.46,0.0,0.01,0.0,0.04,0.08,0.65,0.02,0.01,0.0,0.0,0.09,0.76,0.03,0.0
Backup and Recovery,0.0,0.01,0.04,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.01,0.26,0.0,0.04,0.6,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
Big Data Technologies,0.0,0.06,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.01,0.0,0.0
